orden,Intersecciones,Lat,Lon,hin,prioridad,tamaño,color
239,Jose Vasconcelos con Lic. Verdad,25.6654202,-100.4118374,60.95711328,10,1,#c6cc14
240,Alfonso Reyes con Priv. La Herradura,25.6469955,-100.383154,60.89736764,10,1,#c6cc14
241,Bosques Del Valle con Bosques Del Alamo,25.649238,-100.376208,60.84915705,10,1,#c6cc14
242,Manuel J. Clouthier con Cromo,25.6810973,-100.4177538,60.78941142,10,1,#c6cc14
243,Alfonso Reyes con Privada Centenario,25.6465736,-100.382453,60.50961254,10,1,#c6cc14
244,Manuel J. Clouthier con Benjamin Hill,25.6776681,-100.4008134,60.40934635,10,1,#c6cc14
245,Roberto Garza Sada con Alberto R. Gonzalez,25.6353393,-100.364071,60.39219166,10,1,#c6cc14
246,Lomas Del Valle con Cascada,25.6420641,-100.381506,60.30346051,10,1,#c6cc14
247,Manuel J. Clouthier con Alejandro Vi,25.6765048,-100.398812,60.25110914,10,1,#c6cc14
248,Eugenio Garza Laguera con Vereda De Las Privanzas,25.63801296,-100.3180442,60.19905353,10,1,#c6cc14
249,Gomez Morin con Los Barragan,25.6336135,-100.3639723,60.19284235,10,1,#c6cc14
250,Lomas Del Valle con Rio Pilon,25.6447753,-100.3805646,60.19047619,10,1,#c6cc14
251,Manuel J. Clouthier con Division Del Norte,25.6799222,-100.4119831,60.16947649,10,1,#c6cc14
252,Zinc con Plomo,25.6817917,-100.4135482,60.144336,10,1,#c6cc14
253,Jose Vasconcelos con Allende,25.6637421,-100.4070182,60.13339249,10,1,#c6cc14
254,Eugenio Garza Laguera con La Ceiba,25.64257158,-100.3332958,60.12333629,10,1,#c6cc14
255,Calzada San Pedro con Via Triumphalis,25.6663539,-100.36852,60.07749187,10,1,#c6cc14
256,Emiliano Zapata con Antonio I. Villarreal,25.682058,-100.407689,59.96716948,10,1,#c6cc14
257,Jimenez con Porfirio Diaz,25.66517642,-100.4085078,59.85862171,10,1,#c6cc14
258,Corregidora con Reforma,25.664729,-100.404572,59.83288968,10,1,#c6cc14
259,Rio Missouri con Rio Bravo,25.66506,-100.37727,59.77343981,10,1,#c6cc14
260,Gomez Morin con Gral. Treviño,25.6372266,-100.3627679,59.72522922,10,1,#c6cc14
261,Roberto Garza Sada con Rio Suchiate,25.6393621,-100.384033,59.67790594,10,1,#c6cc14
262,Humberto Lobo con Rio Guadalquivir,25.665532,-100.3807716,59.54273883,10,1,#c6cc14
263,Grafito con Oro,25.6845245,-100.416458,59.4829932,10,1,#c6cc14
264,Emiliano Zapata con Flores Magon,25.681846,-100.409466,59.47678202,10,1,#c6cc14
265,Benito Juarez con Callejon De Los Ayala,25.6683982,-100.4005203,59.46613428,10,1,#c6cc14
266,Cobalto con Oro,25.6833459,-100.4166036,59.45696539,10,1,#c6cc14
267,Calzada Del Valle con Rio Caura,25.6547092,-100.3622156,59.38095238,10,1,#c6cc14
268,Alfonso Reyes con Gruta,25.6398662,-100.353297,59.25495416,10,1,#c6cc14
269,L. Garza Ayala con J. M. Montemayor,25.653788,-100.383921,59.24105294,10,1,#c6cc14
270,Porfirio Diaz con Manuel Gonzalez,25.66242,-100.4005,59.17509613,10,1,#c6cc14
271,Porfirio Diaz con Guerrero,25.6627261,-100.4014065,59.15587104,10,1,#c6cc14
272,Plutarco Elias Calles con Galeana,25.6521586,-100.3821421,58.76042591,10,1,#c6cc14
273,Corregidora con Callejon De Los Ayala,25.669367,-100.402602,58.74504584,10,1,#c6cc14
274,Cobalto con Potasio,25.6823831,-100.4118842,58.65424431,10,1,#c6cc14
275,Morones Prieto con Maria Cantu,25.66729883,-100.4078978,58.55989352,10,1,#c6cc14
276,Humberto Lobo con Rio Navia,25.66663823,-100.3803301,58.5010352,10,1,#c6cc14
277,Rio Moctezuma con Rio Colorado,25.658339,-100.362171,58.38331854,10,1,#c6cc14
278,Real San Agustin con Montes Altos,25.6498487,-100.33975,58.37562851,10,1,#c6cc14
279,Calzada San Pedro con Via Savotino,25.663975,-100.3681926,58.33895297,10,1,#c6cc14
280,Grafito con Potasio,25.6837031,-100.4118999,58.33629104,10,1,#c6cc14
281,Corregidora con Callejon De Capellania,25.670271,-100.402207,58.31647442,10,1,#c6cc14
282,Roberto Garza Sada con Perseverancia,25.637524,-100.37771,58.18692694,10,1,#c6cc14
